session,x,A3LH1VPY6T8255,A1C57DJF1HCR3Q,A39WRTXWYF93ST,A4CX7I79NKBQA,AO0CQ0WT4FT7T,AGN9KSJLLFK1U,AF6WFN2THVM4A,A2CCL5NW0DNJN8,A35RGUQZRI1Q3M,A185AZCHDI3K4O,A1LRJ2MQD4AMES,A1BI3WXOR5CTHQ,AMSUHCUTF1AAC,A5EH8I0OCNCK4,ASTVV4I4O4S5X,A1ZESF24O4IW28,A2H5E5J5K14OGY,A195MOXRMNHRVT,AYQ81S12VLM6C
0,0,0.5,0.4,0.7,0.6,0.66,0.64,0.68,0.58,0.54,0.66,0.58,0.48,0.6,0.52,0.56,0.66,0.54,0.7,0.46
0,1,0.62,0.8,0.58,0.64,0.58,0.54,0.78,0.7,0.68,0.48,0.6,0.48,0.68,0.7,0.44,0.7,0.76,0.66,0.52
0,2,0.64,0.86,0.7,0.66,0.76,0.56,0.68,0.52,0.82,0.56,0.76,0.62,0.78,0.7,0.58,0.9,0.68,0.9,0.38
0,3,0.54,0.82,0.74,0.62,0.74,0.72,0.7,0.58,0.68,0.7,0.66,0.52,0.82,0.62,0.5,0.96,0.76,0.88,0.372549019608
1,0,0.68,0.62,0.66,,0.68,0.54,,0.58,0.58,0.88,0.54,0.5,0.82,,0.48,0.92,0.86,,
1,1,0.6,0.7,0.86,,0.76,0.7,,0.66,0.6,0.94,0.58,0.72,0.9,,0.44,0.94,0.86,,
1,2,0.62,0.72,0.78,,0.76,0.64,,0.64,0.78,0.86,0.72,0.68,0.82,,0.62,0.98,0.86,,
1,3,0.6,0.82,0.66,,0.84,0.54,,0.6,0.76,0.88,0.72,0.72,0.96,,0.46,0.94,0.82,,
2,0,0.62,0.72,0.64,,0.78,0.56,,,0.5,0.96,0.82,0.58,0.94,,0.5,0.9,0.92,,
2,1,0.64,0.94,0.84,,0.86,0.56,,,0.66,0.92,0.74,0.66,0.84,,0.52,0.84,0.86,,
2,2,0.58,0.96,0.72,,0.84,0.56,,,0.68,0.92,0.72,0.6,0.94,,0.48,0.94,0.88,,
2,3,0.56,1.0,0.76,,0.84,0.52,,,0.68,0.98,0.82,0.78,0.96,,0.74,0.94,0.88,,
3,0,0.74,0.98,,,,0.6,,,0.56,0.96,0.9,0.66,0.94,,0.66,0.82,0.94,,
3,1,0.74,0.98,,,,0.74,,,0.78,0.92,0.78,0.62,0.94,,0.54,0.9,0.94,,
3,2,0.78,0.98,,,,0.56,,,0.82,0.96,0.86,0.72,0.94,,0.68,0.84,0.96,,
3,3,0.62,0.98,,,,0.58,,,0.76,0.96,0.88,0.62,0.94,,0.52,0.9,0.94,,
4,0,0.64,1.0,,,,0.68,,,0.82,0.96,0.9,0.72,0.94,,0.56,0.92,,,
4,1,0.68,1.0,,,,0.72,,,0.88,0.98,0.88,0.66,0.92,,0.54,1.0,,,
4,2,0.66,1.0,,,,0.58,,,0.9,0.92,0.84,0.7,0.92,,0.62,1.0,,,
4,3,0.82,1.0,,,,0.48,,,0.94,0.94,0.86,0.76,0.98,,0.58,1.0,,,
5,0,0.54,,,,,0.52,,,,0.58,,0.64,,,0.8,,,,
5,1,0.72,,,,,0.64,,,,0.66,,0.66,,,0.7,,,,
5,2,0.74,,,,,0.66,,,,0.78,,0.6,,,0.68,,,,
5,3,0.78,,,,,0.58,,,,0.7,,0.62,,,0.5,,,,
6,0,0.8,,,,,0.6,,,,0.48,,0.66,,,0.52,,,,
6,1,0.64,,,,,0.46,,,,0.78,,0.6,,,0.58,,,,
6,2,0.54,,,,,0.56,,,,0.84,,0.78,,,0.6,,,,
6,3,0.86,,,,,0.6,,,,0.82,,0.88,,,0.52,,,,
7,0,,,,,,,,,,,,0.66,,,,,,,
7,1,,,,,,,,,,,,0.62,,,,,,,
7,2,,,,,,,,,,,,0.7,,,,,,,
7,3,,,,,,,,,,,,0.8,,,,,,,
8,0,,,,,,,,,,,,0.76,,,,,,,
8,1,,,,,,,,,,,,0.6,,,,,,,
8,2,,,,,,,,,,,,0.86,,,,,,,
8,3,,,,,,,,,,,,0.64,,,,,,,
